Year,AG.LND.AGRI.K2,AG.LND.AGRI.ZS,AG.LND.ARBL.ZS,AG.LND.FRST.K2,AG.LND.FRST.ZS,AG.YLD.CREL.KG,BX.KLT.DINV.WD.GD.ZS,EG.ELC.ACCS.ZS,EG.FEC.RNEW.ZS,EN.ATM.CO2E.KD.GD,EN.ATM.CO2E.KT,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD,EN.ATM.CO2E.PP.GD.KD,EN.ATM.GHGT.KT.CE,EN.ATM.METH.KT.CE,EN.ATM.NOXE.KT.CE,EN.URB.MCTY.TL.ZS,NV.AGR.TOTL.ZS,SE.PRM.CMPT.ZS,SH.DYN.MORT,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
2011,301038.0,67.4519381581896,17.4855478377773,56765.94,12.7192336993054,1614.4,2.48727462132161,93.4464340209961,11.88,0.677686689967294,55939.998626709,1.70011276320966,0.250497350271372,0.276731170497838,75750.0,11010.0002288818,8440.0,21.648298569714,13.1199875133676,89.361572265625,29.5,1.34266554348538,32903699.0,2.30837846881745,19275316.0,58.581
2012,304030.0,68.1223392336993,18.0304727761595,56786.18,12.7237687654044,1016.6,2.89209442103955,94.2105178833008,10.93,0.683052212114469,58080.0018310547,1.74141603297389,0.25685024966965,0.278922164132657,77550.0030517578,11100.0003814697,8000.0,21.6423495575355,12.3295603982163,98.0196304321289,27.8,1.35377246657382,33352169.0,2.30686506905046,19725140.0,59.142
2013,305850.0,68.5301366793637,18.2119650459332,56806.42,12.7283038315035,1828.3,3.14616379903882,97.1999969482422,11.59,0.647904318298586,57590.0001525879,1.70366838207705,0.243334745856407,0.26456963524254,78040.0009155273,11289.999961853,8770.0,21.6395466662399,13.3895668114081,96.0231018066406,26.3,1.34423384293623,33803527.0,2.28330351486545,20180706.0,59.7
2014,300825.0,67.404212413175,17.0313690342819,56826.66,12.7328388976025,1454.3,2.95924132986015,91.5999984741211,11.14,0.554636467969134,58689.998626709,1.71364649900345,0.236403658993609,0.226484009873784,79239.9978637695,11479.9995422363,8670.0,21.6468654210509,10.3531465249527,96.3081588745117,24.9,1.3080629397791,34248603.0,2.23507317556878,20636838.0,60.256
2015,300470.0,67.3246695048174,16.7987900515348,56846.9,12.7373739637015,2140.7,2.94609660128252,97.3000030517578,11.25,0.54712082943542,60409.9998474121,1.74190317346478,0.223931928716196,0.223415023158738,81459.9990844727,11550.0001907349,9090.0,21.6680471751555,11.7961931846113,96.2577133178711,23.5,1.25305827289905,34680458.0,2.16662594042245,21088840.0,60.809
2016,308750.0,69.1799238180596,18.4203450593771,56997.9,12.7712077078199,936.0,1.93001012545147,97.8000030517578,11.06,0.543473213101479,60319.9996948242,1.71816293331272,0.22016954584225,0.221925530812847,80260.0021362305,11670.0000762939,7830.0,21.6977090553112,10.3219651103177,95.0420379638672,22.3,1.22317023430594,35107264.0,2.12520322523312,21541817.0,61.36
2017,310465.482,69.5643024871163,18.8634532825454,57115.9,12.7976473224289,1757.6,2.26092242775974,100.0,10.45,0.544751703921483,63520.0004577637,1.78787983707449,0.222447598408874,0.222447598408874,84989.9978637695,11770.0004577637,9210.0,21.736284066858,11.1602887992375,92.9295272827148,21.2,1.1916294240897,35528115.0,2.08075383299536,21994745.0,61.908
2018,305258.072,68.3975066099036,17.5939305399955,57215.9,12.8200537754873,2263.6,2.78337877531639,98.0999984741211,10.9,0.540530500461628,64959.9990844727,1.80808514913468,0.215573802000861,0.220723883613159,86809.9975585938,11970.0002670288,9370.0,21.793043219721,11.3055402401365,93.5974578857422,20.3,1.1178970270223,35927511.0,1.99438319842915,22437808.0,62.453
2019,296119.07,66.34978041676,15.4581313018149,57320.9,12.8435805511987,1454.1,1.33480122674375,99.5999984741211,10.69,0.578071392164294,71480.0033569336,1.96890700867326,0.226494478823764,0.236053585459469,93080.0018310547,12159.9998474121,8890.0,21.8743079352788,10.8424017370039,97.1357269287109,19.5,1.04358412669917,36304408.0,1.90610808199994,22869599.0,62.994
2020,303820.0,68.0752856822765,17.138695944432,57424.9,12.8668832623796,742.9,1.16912639802277,100.0,11.09888888888889,0.5908030363815319,61221.11129760745,1.7648646421026646,0.23285592873144256,0.241252511244434,81908.88892279731,11555.555661519355,8696.666666666666,21.9662898502027,10.664176831517,100.088119506836,18.7,1.05316017914606,36688772.0,1.90358401884694,23309111.0,63.532
