Year,Production,AG.YLD.CREL.KG,EN.ATM.CO2E.KD.GD,EN.ATM.CO2E.PP.GD.KD,EN.ATM.METH.KT.CE,EN.ATM.NOXE.KT.CE
2011,1721402.2128676805,0.19482703428886125,1.5973405001054173,1.5973405001054175,-1.5897760002572667,-0.5450639370653816
2012,1656891.0,-1.050149995084533,1.695984669361436,1.6959846693614413,-1.3275110239706287,-1.4794592577488885
2013,1928606.3,0.6402947267996824,1.0497969002191514,1.0497969002191403,-0.7738426799638753,0.1557325534472486
2014,1950981.5,-0.13859689077417084,-0.6649159202073813,-0.664915920207395,-0.220174335957122,-0.056630019435366635
2015,1924430.0,1.2908983132437242,-0.8030895963662034,-0.8030895963662005,-0.016188921592362508,0.8352927866716173
2016,1743616.5,-1.2180073864654224,-0.8701503731474037,-0.8701503731473997,0.3334967871045554,-1.8404756316493345
2017,1924871.8636363635,0.49305505470751265,-0.8466455470780268,-0.8466455470780048,0.6249029338798862,1.0901278741307556
2018,1869149.0,1.546849596130961,-0.9242516210325,-0.9242516210325133,1.2077124483750408,1.42990799074294
2019,1956711.0,-0.13901341035576123,-0.2340690118544872,-0.23406901185450732,1.7613807923817941,0.41056764090638687
2020,1707068.2,-1.620157042490853,0.0,-2.4992548178284806e-15,5.300626710834477e-15,-3.8628526978321175e-15
